name,samecase,ispass,bugfreeid,comments,failnum
股价大于5元，连续三天涨幅大于5%,NULL,0,0,NULL,0
连续三年营业收入低于1000万元,NULL,0,0,NULL,0
市盈率最低但净利润超过1000万的公司,NULL,0,0,NULL,0
"预盈100%以上,近2日上涨5%以上",NULL,0,0,NULL,0
浙江重组的股票,NULL,0,0,NULL,0
换手率20%以上的股票,NULL,0,0,NULL,0
"2010年净利润增长大于50%,2011年净利润增长大于60%",NULL,0,0,NULL,0
连续一周涨幅大于3%的股票,NULL,0,0,NULL,0
净资产负债率超过100%的公司,NULL,0,0,NULL,0
禽流感疫情股票,NULL,0,0,NULL,0
收益百分之百,NULL,0,0,NULL,0
利润增长100%,NULL,0,0,NULL,0
净利三年连续增长30%，股价三年内上涨70%,NULL,0,0,NULL,0
市盈率连续3年大于0小于20,NULL,0,0,NULL,0
预测净利润连续三年增长30%,NULL,0,0,NULL,0
3日均线金叉5日均线的股票,NULL,0,0,NULL,0
环保工程,NULL,0,0,NULL,0
连续3年净利润率大于20％,NULL,0,0,NULL,0
"最近三年净利润复合增长率30%，2011年市盈率(pe,ttm)小于39",NULL,0,0,NULL,0
交叉持股题材股,NULL,0,0,NULL,0
价格在3-4元的股票,NULL,0,0,NULL,0
预期高送转概念股,NULL,0,0,NULL,0
2012年7月11日限售股解禁,NULL,0,0,NULL,0
2012年高送转分红预期小盘品种,NULL,0,0,NULL,0
2012中报业绩增长30%以上,NULL,0,0,NULL,0
嘉兴的上市公司,NULL,0,0,NULL,0
基金重仓,NULL,0,0,NULL,0
最近一周涨幅最大的股票是哪支,NULL,0,0,NULL,0
总市值最大的股票,NULL,0,0,NULL,0
重组上海本地股,NULL,0,0,NULL,0
白酒行业 资产负债率35%以下 总股本100亿以下 市盈率30倍以下,NULL,0,0,NULL,0
青海股票有哪些,NULL,0,0,NULL,0
最近一个月涨幅超过30%的股票,NULL,0,0,NULL,0
股价在3-4元的股票,NULL,0,0,NULL,0
连续两年净利润增长率大于50%,NULL,0,0,NULL,0
云计算概念股,NULL,0,0,NULL,0
2012中报净利润(同比增长率)>100%以上的股票,NULL,0,0,NULL,0
